year,country,2_letter_code,unit,Exports of goods and services,Imports of goods and services,trade_balance,coverage_ratio,total_trade,total_exports_yoy,total_imports_yoy,%_Export_UE,%_Import_UE,%_total_trade_UE
2015,Belgium,BE,CP_EUR,323611600000.0,320757700000.0,2853900000.0,1.0088973701956336,644369300000.0,0.006496584379086068,0.0004104469349188733,0.05683454455419183,0.056333326097550575,0.11316787065174241
2016,Belgium,BE,CP_EUR,341137500000.0,340372400000.0,765100000.0,1.002247832080392,681509900000.0,0.054157205736753644,0.06115114305907543,0.05879832334095783,0.05866645101033406,0.11746477435129189
2017,Belgium,BE,CP_EUR,369998500000.0,370066200000.0,-67700000.0,0.9998170597584972,740064700000.0,0.08460224982595,0.08723915335085919,0.059145567518887415,0.05915638960308783,0.11830195712197525
2018,Belgium,BE,CP_EUR,383597800000.0,389624400000.0,-6026600000.0,0.9845322828857741,773222200000.0,0.0367550138716779,0.05285054403779643,0.05829324750459476,0.05920907675442672,0.11750232425902148
2019,Belgium,BE,CP_EUR,397783100000.0,395532700000.0,2250400000.0,1.0056895422300103,793315800000.0,0.03697961771417879,0.015164091365941212,0.057947418160944675,0.057619589075623076,0.11556700723656775
2020,Belgium,BE,CP_EUR,367276200000.0,360581400000.0,6694800000.0,1.0185666814760828,727857600000.0,-0.07669229788796961,-0.08836513390675416,0.05899735615924523,0.05792193798617843,0.11691929414542365
2021,Belgium,BE,CP_EUR,453546700000.0,444089500000.0,9457200000.0,1.02129570728423,897636200000.0,0.23489270472739587,0.23159292187561542,0.06167082694524706,0.060384888045048705,0.12205571499029577
2022,Belgium,BE,CP_EUR,529995699999.99994,543109699999.99994,-13114000000.0,0.9758538652504273,1073105399999.9999,0.16855816611608,0.2229735222291902,0.05926842378094346,0.06073493777240281,0.12000336155334627
2023,Belgium,BE,CP_EUR,498425500000.0,500597300000.0,-2171800000.0,0.9956615826733384,999022800000.0,-0.05956689837294893,-0.0782758989574297,0.05580408724768976,0.05604724358035037,0.11185133082804012
2024,Belgium,BE,CP_EUR,491708500000.0,494100800000.0,-2392300000.0,0.9951582753964373,985809300000.0,-0.013476437301061073,-0.012977497081985812,0.0541896690047097,0.054453316969225195,0.1086429859739349
2025,Belgium,BE,CP_EUR,482780100000.0,495706700000.0,-12926600000.0,0.9739228862551182,978486800000.0,-0.018157912665735854,0.0032501465288055087,0.05175735080894188,0.053143171332544384,0.10490052214148626
2000,Bosnia and Herzegovina,BA,CP_EUR,1322500000.0,3835900000.0,-2513400000.0,0.34476915456607315,5158400000.0,,,0.0004715032357422056,0.001367591124373177,0.0018390943601153827
2001,Bosnia and Herzegovina,BA,CP_EUR,1430500000.0,4146500000.0,-2716000000.0,0.3449897503918968,5577000000.0,0.081663516068053,0.08097187100810754,0.00048740717712775466,0.0014128163998323906,0.0019002235769601452
2002,Bosnia and Herzegovina,BA,CP_EUR,1367300000.0,4261000000.0,-2893700000.0,0.3208871157005398,5628300000.0,-0.04418035651869978,0.027613650066320883,0.00045752372553140664,0.00142580896254613,0.0018833326880775367
2003,Bosnia and Herzegovina,BA,CP_EUR,1550300000.0,4516800000.0,-2966500000.0,0.34322972015586256,6067100000.0,0.13384041541724567,0.06003285613705711,0.0005171362122039076,0.0015066766711492032,0.002023812883353111
2004,Bosnia and Herzegovina,BA,CP_EUR,1843400000.0,4848600000.0,-3005200000.0,0.3801922204347647,6692000000.0,0.1890601819002773,0.07345908607863971,0.0005617887641942405,0.0014776440284648986,0.002039432792659139
2005,Bosnia and Herzegovina,BA,CP_EUR,2194400000.0,5418200000.0,-3223800000.0,0.40500535233103246,7612600000.0,0.1904090267983074,0.11747720991626442,0.0006163011081399491,0.001521711020836617,0.002138012128976566
2006,Bosnia and Herzegovina,BA,CP_EUR,2692800000.0,5493800000.0,-2801000000.0,0.4901525355855692,8186600000.0,0.22712358731316074,0.013952973312170158,0.0006769468500439796,0.0013810942531088887,0.0020580411031528682
2007,Bosnia and Herzegovina,BA,CP_EUR,3124400000.0,6507900000.0,-3383500000.0,0.4800934249143349,9632300000.0,0.16027926322043973,0.18458990134333253,0.0007203010786580121,0.0015003352290994998,0.002220636307757512
2008,Bosnia and Herzegovina,BA,CP_EUR,3503100000.0,7739300000.0,-4236200000.0,0.45263783546315556,11242400000.0,0.12120727179618496,0.18921618340785806,0.0007753942788381663,0.00171305670469362,0.002488450983531786
2009,Bosnia and Herzegovina,BA,CP_EUR,3171000000.0,6179600000.0,-3008600000.0,0.5131400090620752,9350600000.0,-0.09480174702406441,-0.20152985412117375,0.0008327355022482283,0.0016228231818647592,0.0024555586841129877
2010,Bosnia and Herzegovina,BA,CP_EUR,3851200000.0,6649500000.0,-2798300000.0,0.5791713662681405,10500700000.0,0.21450646483759073,0.0760405204220338,0.0008783402707815953,0.001516546435023426,0.0023948867058050213
2011,Bosnia and Herzegovina,BA,CP_EUR,4296600000.0,7483900000.0,-3187300000.0,0.5741124280121327,11780500000.0,0.11565226422933117,0.12548311903150622,0.0008871309337824254,0.0015452216160066782,0.0024323525497891036
2012,Bosnia and Herzegovina,BA,CP_EUR,4337400000.0,7480600000.0,-3143200000.0,0.579819800550758,11818000000.0,0.009495880463622486,-0.0004409465652934763,0.0008595737097833099,0.0014824842286634914,0.0023420579384468014
2013,Bosnia and Herzegovina,BA,CP_EUR,4620000000.0,7419300000.0,-2799300000.0,0.6227002547410133,12039300000.0,0.06515423986720159,-0.008194529850546695,0.0008997139493870786,0.0014448588105384313,0.0023445727599255097
2014,Bosnia and Herzegovina,BA,CP_EUR,4754500000.0,7912200000.0,-3157700000.0,0.6009074593665479,12666700000.0,0.02911255411255409,0.06643483886620039,0.0008920841765713122,0.0014845616619765562,0.002376645838547868
2015,Bosnia and Herzegovina,BA,CP_EUR,5193900000.0,7865500000.0,-2671600000.0,0.6603394571228784,13059400000.0,0.09241770953833206,-0.005902277495513308,0.0009121828171796591,0.001381384691373844,0.002293567508553503
2016,Bosnia and Herzegovina,BA,CP_EUR,5556600000.0,8098500000.0,-2541900000.0,0.6861270605667716,13655100000.0,0.06983191821174839,0.02962303731485605,0.0009577333581806934,0.0013958542276259484,0.0023535875858066418
2017,Bosnia and Herzegovina,BA,CP_EUR,6556900000.0,9158100000.0,-2601200000.0,0.7159672857907208,15715000000.0,0.1800201562106325,0.13083904426745696,0.0010481436321082191,0.0014639546427748296,0.0025120982748830486
2018,Bosnia and Herzegovina,BA,CP_EUR,7286100000.0,9796000000.0,-2509900000.0,0.7437831768068599,17082100000.0,0.11121109060684176,0.06965418591192507,0.0011072285363555993,0.0014886442324617353,0.002595872768817335
2019,Bosnia and Herzegovina,BA,CP_EUR,7325900000.0,9967200000.0,-2641300000.0,0.735000802632635,17293100000.0,0.005462455909196917,0.017476521028991332,0.001067207205900061,0.0014519810074730872,0.0025191882133731485
2020,Bosnia and Herzegovina,BA,CP_EUR,6142100000.0,8510400000.0,-2368300000.0,0.721716958074826,14652500000.0,-0.16159106730913608,-0.14615940284131956,0.0009866352931818074,0.0013670668011094664,0.0023537020942912736
2021,Bosnia and Herzegovina,BA,CP_EUR,8570799999.999999,10791200000.0,-2220400000.000001,0.7942397509081472,19362000000.0,0.39541850507155507,0.2680015040421131,0.0011654110229053004,0.0014673290043374808,0.002632740027242781
2022,Bosnia and Herzegovina,BA,CP_EUR,11267200000.0,14437200000.0,-3170000000.0,0.7804283379048569,25704400000.0,0.31460307089186546,0.3378678923567351,0.0012599898158129326,0.0016144849624444822,0.002874474778257415
2023,Bosnia and Herzegovina,BA,CP_EUR,11213000000.0,14217100000.0,-3004100000.0,0.7886981170562211,25430100000.0,-0.00481042317523428,-0.015245338431274735,0.0012554157648602354,0.0015917570204757381,0.0028471727853359736
2024,Bosnia and Herzegovina,BA,CP_EUR,11186300000.0,14856600000.0,-3670300000.0,0.752951550152794,26042900000.0,-0.0023811647195219887,0.04498104395411162,0.0012328074344604256,0.0016372998159181105,0.002870107250378536
1995,Bulgaria,BG,CP_EUR,4695200000.0,3328100000.0,1367100000.0,1.410774916619092,8023300000.0,,,0.0026146653142638146,0.001853353985432229,0.004468019299696043
1996,Bulgaria,BG,CP_EUR,4766200000.0,3668100000.0,1098100000.0,1.2993647937624384,8434300000.0,0.015121826546260042,0.10216039181514969,0.0025048398506976287,0.001927741818711756,0.004432581669409384
1997,Bulgaria,BG,CP_EUR,4989700000.0,3712600000.0,1277100000.0,1.3439907342563164,8702300000.0,0.046892702782090456,0.012131621275319748,0.002363691814038369,0.001758711391225695,0.004122403205264064
1998,Bulgaria,BG,CP_EUR,5635800000.0,4717100000.0,918700000.0,1.1947594920608,10352900000.0,0.12948674268994131,0.2705651026234983,0.0025115598913538,0.0021021468404671933,0.004613706731820993
1999,Bulgaria,BG,CP_EUR,5473800000.0,6059600000.0,-585800000.0,0.9033269522740774,11533400000.0,-0.0287448099648675,0.28460282800873427,0.0023090437716457033,0.0025561550730140497,0.004865198844659753
2000,Bulgaria,BG,CP_EUR,5230000000.0,5996500000.0,-766500000.0,0.872175435670808,11226500000.0,-0.04453944243487162,-0.010413228595946955,0.0018646214918198378,0.002137897280248118,0.004002518772067956
2001,Bulgaria,BG,CP_EUR,5548000000.0,7030100000.0,-1482100000.0,0.7891779633291134,12578100000.0,0.060803059273422555,0.17236721420828816,0.0018903425506499704,0.0023953311401089324,0.004285673690758903
2002,Bulgaria,BG,CP_EUR,5881000000.0,7274900000.0,-1393900000.0,0.8083959916974803,13155900000.0,0.06002162941600586,0.03482169528171708,0.00196789075539399,0.0024343153301166023,0.004402206085510592
2003,Bulgaria,BG,CP_EUR,6469800000.0,8383500000.0,-1913700000.0,0.7717301842905707,14853300000.0,0.10011902737629663,0.1523869743914006,0.0021581422084221385,0.0027964983777407334,0.004954640586162872
2004,Bulgaria,BG,CP_EUR,8639100000.0,10991100000.0,-2352000000.0,0.7860086797499796,19630200000.0,0.33529629973105823,0.31103954195741634,0.002632824841461681,0.003349612935952759,0.00598243777741444
2005,Bulgaria,BG,CP_EUR,10224100000.0,13747100000.0,-3523000000.0,0.74372776803835,23971200000.0,0.1834681853433806,0.25074833274194575,0.0028714565073521938,0.0038608972674583917,0.006732353774810585
2006,Bulgaria,BG,CP_EUR,12876400000.0,17561200000.0,-4684800000.0,0.7332300753934811,30437600000.0,0.2594164767559002,0.27744760713168604,0.0032370166443502304,0.004414735228383963,0.007651751872734193
2007,Bulgaria,BG,CP_EUR,16996700000.0,23107200000.0,-6110500000.0,0.7355586137654064,40103900000.0,0.3199885061041907,0.3158098535407603,0.0039184295684376634,0.005327147959533484,0.009245577527971147
2008,Bulgaria,BG,CP_EUR,19545900000.0,26895800000.0,-7349900000.0,0.7267268495452822,46441700000.0,0.1499820553401543,0.16395755435535242,0.004326390635363796,0.005953255529324185,0.01027964616468798
2009,Bulgaria,BG,CP_EUR,15797100000.0,18885800000.0,-3088700000.0,0.8364538436285464,34682900000.0,-0.1917946986324498,-0.2978160158835208,0.004148472406990063,0.004959595127202646,0.009108067534192708
